Date_extraction|Status|Name_of_data_flow|Type_of_request|value_of_the_parameter|Run_number|Area_Level1|Value_extracted1|Value_extracted2|Value_extracted3|Value_extracted4|EudraCT-number|Sponsor-protocol-number|Start-date|Sponsor-name|Full-tittle|Medical-condition|Disease-version|Disease-soc-term|Disease-classification-code|Disease-term|Disease-level|Population-age|Gender|Trial-protocol|Trial results
20170102_004904|0|Clinicaltrials|nc|takeda|41|Total number of trials|nc|nc|nc|nc|2006-004455-37|ATS K024 (D-Pio-114)|2007-03-05|Takeda Pharma GmbH|Effects of a Pioglitazone/ Metformin Fixed Combination in Comparison to Metformin in Combination with Glimepiride on Diabetic Dyslipidemia|Patients with Type 2 Diabetes mellitus (HbA1c > 6.5% and >/ = 9%) and diabetic dylipidemia inefficiently treated with Metformin monotherapy (maximal individually tolerated dose) will be eligible fo...|8.1| |10063624|Type II diabetes mellitus inadequate control|LLT|Adults, Elderly|Male, Female|DE (Completed) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|42|Total number of trials|nc|nc|nc|nc|2014-005142-21|MLN1202-2005|2015-07-21|Takeda Development Centre Europe Limited|A Multicenter, Randomized, Double Blind, Placebo Controlled, Proof of Concept, Phase 2 Study to Evaluate the Efficacy and Safety of Weekly Subcutaneous MLN1202, in Improving Diabetic Nephropathy Su...|Diabetic Nephropathy| | | | | |Adults, Elderly|Male, Female|AT (Completed) DK (Prematurely Ended) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|43|Total number of trials|nc|nc|nc|nc|2014-004495-36|M90-516|2014-11-28|Abbvie previously known as Abbott|Study of Lupron Depot in the Treatment of Central Precocious Puberty|Central Precocious Puberty|17.1|100000004860|10073186|Central precocious puberty|LLT|Children, Under 18|Male, Female| |View results

20170102_004904|0|Clinicaltrials|nc|takeda|44|Total number of trials|nc|nc|nc|nc|2005-004672-20|SYR-322-OLE-012|2006-04-24|Takeda Global Research & Development Center, Inc.,|A Long-Term, Open-Label Extension Study to Investigate the Long-Term Safety of SYR110322 (SYR-322) in Subjects with Type 2 Diabetes|Type II diabetes mellitus.| | | | | |Adults, Elderly|Male, Female|CZ (Completed) EE (Completed) SK (Ongoing) LV (Completed) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|45|Total number of trials|nc|nc|nc|nc|2012-000478-42|008285QM|2013-02-18|Queen Mary, University of London|NEPTUNE|High or Intermediate Risk, Untreated, Clinically Localised Prostate Cancer| | | | | |Adults, Elderly|Male|GB (Prematurely Ended) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|46|Total number of trials|nc|nc|nc|nc|2005-000435-18|PCOS/IGT/1|2005-03-31|University of Hull|Study to Determine if The Cardiovascular risk indices in Impaired Glucose Tolerance are similar for Polycystic Ovarian Syndrome, and whether they may be modified by Therapy|This is a randomised parallel controlled trial between patients with impaired glucose tolerance and those with polycystic ovarian syndrome. Patients will either be randomised to metformin or Piogli...| | | | | |Adults|Female|GB (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|47|Total number of trials|nc|nc|nc|nc|2006-002084-49|06023GM-A|2006-09-13|Belfast City Hospital Trust|Vascular function in impaired glucose tolerance - effect of pioglitazone|Impaired glucose tolerance| | | | | |Adults, Elderly|Male, Female|GB (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|48|Total number of trials|nc|nc|nc|nc|2005-000461-18|PCOS/DM/1|2005-03-31|University of Hull|Study to Determine if The Cardiovascular risk indices in Type 2 diabetes are similar for Polycystic Ovarian Syndrome, and whether they may be modified by Therapy|This is a randomised parallel controlled trial between patients with type 2 diabetes and those with polycystic ovarian syndrome. Patients will either be randomised to metformin or Pioglitazone.| | | | | |Adults|Female|GB (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|49|Total number of trials|nc|nc|nc|nc|2012-004503-13|KOLprednisolone|2012-12-12|Bispebjerg Hospital|Effect of Glococorticosteroids on physical performance in patients with chronic obstructive pulmonary disease and acute inflammatory response after exercise|To investigate the effects of prednisone and Solu-Medrol on physical performance in patients with chronic obstructive pulmonary disease(COPD). Furthermore to examine the inflammatory response durin...| | | | | |Adults, Elderly|Male|DK (Restarted) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|50|Total number of trials|nc|nc|nc|nc|2014-004313-82|30-09-2014|2015-02-03|Anaesthesia and Operative Services, Kuopio University Hospital|Efficacy and safety of epidural oxycodone|Acute postoperative pain after gynaecologic surgery.| | | | | |Adults, Elderly|Female|FI (Ongoing) |(No results available)

20170102_004904|4|Clinicaltrials|nc|takeda|51|Total number of trials|nc|nc|nc|nc|2012-001680-72|TAK-390MR_206|2012-10-09|Takeda Development Centre Europe Ltd|A Phase 2 Open-Label, Multicenter, 4-Week Study to Assess the safety and Effectiveness of Daily Oral Administration of Dexlansoprazole Delayed-Release Capsules for Relief of Heartburn, in Adolescen...|Heartburn in Adolescent subjects With Symptomatic Non-Erosive Gastroesophageal Reflux Disease|14.1|100000004856|10066874|Gastroesophageal reflux disease|LLT|Adolescents, Under 18|Male, Female|HU (Completed) PT (Completed) BE (Completed) IT (Ongoing) |View results

20170102_004904|4|Clinicaltrials|nc|takeda|51|Total number of trials|nc|nc|nc|nc|2012-001680-72|TAK-390MR_206|2012-10-09|Takeda Development Centre Europe Ltd|A Phase 2 Open-Label, Multicenter, 4-Week Study to Assess the safety and Effectiveness of Daily Oral Administration of Dexlansoprazole Delayed-Release Capsules for Relief of Heartburn, in Adolescen...|Heartburn in Adolescent subjects With Symptomatic Non-Erosive Gastroesophageal Reflux Disease|14.1|100000004856|10019326|Heartburn|LLT|Adolescents, Under 18|Male, Female|HU (Completed) PT (Completed) BE (Completed) IT (Ongoing) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|52|Total number of trials|nc|nc|nc|nc|2009-011221-13|SYR-322_104|2011-09-30|Takeda Global Research & Development Center, Inc.|A Comparative, Randomized, Open-Label, Multi-Center, Single Dose Pharmacokinetic, Pharmacodynamic and Safety Study of Alogliptin (12.5 mg and 25 mg) Between Children, Adolescents, and Adults with T...|Type 2 diabetes mellitus|14.1|10027433 - Metabolism and nutrition disorders|10045242|Type II diabetes mellitus|LLT|Children, Adolescents, Under 18, Adults|Male, Female| |View results

20170102_004904|0|Clinicaltrials|nc|takeda|53|Total number of trials|nc|nc|nc|nc|2004-004226-28|ATS K016|2005-01-17|Takeda Pharma GmbH|Effects of Pioglitazone in Patients with Type 2 Diabetes Mellitus and Coronary Heart Disease at High Risk for Cardiovascular Complications|Type 2 Diabetes mellitus| | | | | |Adults, Elderly|Male, Female|DE (Prematurely Ended) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|54|Total number of trials|nc|nc|nc|nc|2014-005376-29|2014-100757|2015-06-29|Academic Medical Center, Gastroenterology|An open-label observational phase 4 study to evaluate efficacy , safety and mucosal healing of early versus late use of vedolizumab in Crohn's disease|Active Crohn's disease| | | | | |Adults, Elderly|Male, Female|NL (Ongoing) BE (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|55|Total number of trials|nc|nc|nc|nc|2013-002085-39|2013-03-23|2013-07-09|Kuopio University Hospital|Effect of dexketoprofen on analgesic concentration of oxycodone after laparoscopic cholecystectomy|Cholelithiasis|14.1|10019805 - Hepatobiliary disorders|10008629|Cholelithiasis|PT|Adults|Male, Female|FI (Completed) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|56|Total number of trials|nc|nc|nc|nc|2013-002806-30|M1-1188_203|2014-12-09|Takeda Development Centre Europe Ltd.|A Multi-Centre, Randomized, Double-Blind, Placebo-Controlled, Dose-Finding and Proof of Concept Study, to Assess the Efficacy, Safety and Tolerability, Pharmacokinetics and Pharmacodynamics of Nami...|Psoriasis|18.0|100000004858|10071117|Plaque psoriasis|LLT|Adults, Elderly|Male, Female|DE (Prematurely Ended) LV (Completed) DK (Prematurely Ended) PL (Prematurely Ended) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|57|Total number of trials|nc|nc|nc|nc|2004-003861-34|0/2004|2005-06-08|Department of Nuclear Medicine|Influence of the PPAR gamma -agonist Pioglitazone on endothelial function in the peripheral and myocardial vascular territories and on myocardial efficiency in obese subjects|There is an association between insulin resistance and endothelial dysfunction which is thought to be a critical factor in the development of vascular disease and thus an important factor in the de...| | | | | |Adults|Male, Female|AT (Completed) |(No results available)

20170102_004904|4|Clinicaltrials|nc|takeda|58|Total number of trials|nc|nc|nc|nc|2016-000678-40|Vedolizumab-4013|2016-08-19|Takeda Development Centre Europe Limited|Entyvio (Vedolizumab IV) Extended Access Program in Ulcerative Colitis and Crohn’s Disease|Ulcerative Colitis and Crohn’s Disease|19.0|100000004856|10045365|Ulcerative colitis|LLT|Adults, Elderly|Male, Female|LV (Ongoing) CZ (Ongoing) HU (Ongoing) EE (Ongoing) |(No results available)

20170102_004904|4|Clinicaltrials|nc|takeda|58|Total number of trials|nc|nc|nc|nc|2016-000678-40|Vedolizumab-4013|2016-08-19|Takeda Development Centre Europe Limited|Entyvio (Vedolizumab IV) Extended Access Program in Ulcerative Colitis and Crohn’s Disease|Ulcerative Colitis and Crohn’s Disease|19.0|100000004856|10013099|Disease Crohns|LLT|Adults, Elderly|Male, Female|LV (Ongoing) CZ (Ongoing) HU (Ongoing) EE (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|59|Total number of trials|nc|nc|nc|nc|2006-005410-13|GERP ALS|2008-04-22|University Hospital of Ulm|EFFICACY, SAFETY AND TOLERABILITY STUDY OF 45 mg PIOGLITAZONE IN PATIENTS WITH AMYOTROPHIC LATERAL SCLEROSIS (ALS) RECEIVING STANDARD THERAPY (RILUZOLE).|Male or female adult patients with amyotrophic lateral sclerosis (ALS) accoring to the El Escorial Criteria for the diognosis of ALS and treated for at least 3 month with 100 mg riluzole (standard ...|9.1| |10002026|Amyotrophic lateral sclerosis|LLT|Adults, Elderly|Male, Female|DE (Prematurely Ended) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|60|Total number of trials|nc|nc|nc|nc|2012-003000-12|ROF-DERM_203|2012-12-14|Takeda Pharma A/S|A Phase 2a, 15-Day, Randomized, Parallel Group, Double-Blind, Multi-Centre, Vehicle Controlled Trial to Assess the Efficacy and Local Safety of a Cream Containing 0.5% Roflumilast - a Phosphodieste...|Atopic Dermatitis Patients with Skin Lesions of Moderate Severity|14.1|10040785 - Skin and subcutaneous tissue disorders|10012438|Dermatitis atopic|PT|Adults, Elderly|Male, Female|DE (Completed) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|61|Total number of trials|nc|nc|nc|nc|2011-000683-99|CL-9709-301-RD|2011-09-20|Takeda Development Centre Europe Ltd.|Control of moderate or severe asthma with 160, 320 and 640μg ciclesonide/day. A one-year randomised, double-blind, multicenter trial.|moderate or severe asthma|17.0|10038738 - Respiratory, thoracic and mediastinal disorders|10003553|Asthma|PT|Adolescents, Under 18, Adults, Elderly|Male, Female|DE (Completed) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|62|Total number of trials|nc|nc|nc|nc|2013-002805-76|M1-1188_202|2014-09-11|Takeda Development Centre Europe Ltd.|A 24-week randomized, double-blind, placebo-controlled, phase 2 dose finding study to evaluate the efficacy and safety of 3 doses of namilumab (20 mg, 80 mg and 150 mg) in combination with methotre...|Rheumatoid Arthritis (RA)|19.0|10028395 - Musculoskeletal and connective tissue disorders|10039073|Rheumatoid arthritis|PT|Adults, Elderly|Male, Female|CZ (Ongoing) ES (Temporarily Halted) BG (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|63|Total number of trials|nc|nc|nc|nc|2005-005641-19|ENG K001 GF / EC 406|Information not available in EudraCT|Takeda Pharma GmbH|3 Months, Open-Label, Parallel-Group Study of the Pharmacodynamics, Pharmacokinetics and Safety of TAP-144SR 1-month Depot Gelatin-Free vs. Gelatin-Containing Formulation in Female Patients with Ut...|Uterine fibroids (Uterus myomatosus)|8.0| |10046784| |LLT|Adults|Female|DE (Completed) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|64|Total number of trials|nc|nc|nc|nc|2006-004028-35|ATS K023 / D-Pio-110|2007-02-12|Takeda Pharma GmbH|Effect of Pioglitazone compared to a combination therapy with Ramipril and to a Ramipril monotherapy on low grade inflammation and vascular function in patients with increased cardiovascular risk a...|Non-diabetic hypertensive patients with a hsCRP value > 1.0 mg/L < 10.0 mg/L and pretreated with ACE inhibitors for at least 12 weeks are eligible for study participation.|8.1| |10003601|Atherosclerosis|LLT|Adults, Elderly|Male|DE (Completed) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|65|Total number of trials|nc|nc|nc|nc|2014-002155-25|TAK-448-2001|2014-11-17|Takeda Development Centre Europe Ltd|An Open-Label, Phase 2a Study to Evaluate the Pharmacodynamics of Different Dosing Regimens of TAK-448, a Kisspeptin Agonist, in Male Overweight/Obese Subjects With Hypogonadotropic Hypogonadism|Hypogonadotropic Hypogonadism|18.1|100000004860|10021012|Hypogonadotrophic hypogonadism|LLT|Adults|Male|GB (Prematurely Ended) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|66|Total number of trials|nc|nc|nc|nc|2015-000481-58|MLN0002SC-3031|2016-01-22|Takeda Development Centre Europe, Ltd.|A Phase 3 Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of Vedolizumab Subcutaneous as Maintenance Therapy in Subjects With Moderately to Severely Active Cr...|Crohn’s Disease|18.1|10017947 - Gastrointestinal disorders|10011401|Crohn's disease|PT|Adults, Elderly|Male, Female|SK (Ongoing) CZ (Ongoing) NL (Ongoing) BG (Ongoing) GB (Ongoing) DE (Ongoing) BE (Ongoing) SE (Ongoing) DK (Ongoing) LT (Ongoing) HU (Ongoing) ES (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|67|Total number of trials|nc|nc|nc|nc|2008-003640-11|MK0431C-102|2008-10-30|MERCK & CO., INC.|A Multicenter, Randomized, Double-Blind Study of the Co-Administration of Sitagliptin and Pioglitazone in Patients With Type 2 Diabetes Mellitus Who Have Inadequate Glycemic Control.|Patients With Type 2 Diabetes Mellitus Who Have Inadequate Glycemic Control.|9.1| |10049746|Insulin-requiring type II diabetes mellitus|LLT|Adults, Elderly|Male, Female|IT (Completed) SI (Completed) AT (Completed) LT (Completed) EE (Completed) LV (Completed) GR (Completed) BG (Completed) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|68|Total number of trials|nc|nc|nc|nc|2014-002945-23|MT203-2004|2015-02-18|Takeda Development Centre Europe Ltd.|A 24-week Randomized, Open-Label, Parallel-Group, Active-Controlled, Exploratory, Proof-of-Mechanism Imaging Study Investigating the Efficacy of 150 mg of Namilumab Administered Subcutaneously vs A...|Rheumatoid Arthritis (RA)|18.0|10028395 - Musculoskeletal and connective tissue disorders|10039073|Rheumatoid arthritis|PT|Adults, Elderly|Male, Female|GB (Temporarily Halted) CZ (Prematurely Ended) EE (Completed) ES (Completed) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|69|Total number of trials|nc|nc|nc|nc|2011-000582-13|RO-2455-402-RD|2012-03-05|Takeda Development Centre Europe Ltd.|A 16-week, randomized, placebo-controlled, double blind, and parallel group trial to assess the anti-inflammatory effects of Roflumilast in chronic obstructive pulmonary disease The ROBERT study ...|severe chronic obstructive pulmonary disease (COPD)|17.1|100000004855|10010952|COPD|LLT|Adults, Elderly|Male, Female|DE (Completed) GB (Ongoing) SE (Completed) PL (Completed) DK (Completed) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|70|Total number of trials|nc|nc|nc|nc|2005-004669-40|SYR-322-TZD-009|2006-03-15|Takeda Global Research & Development Center, Inc.,|A multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Determine the Efficacy and safety of SYR110322 (SYR-322) When Used in Combination with Pioglitazone in Subjects with Type 2 Diab...|Type II diabetes mellitus.| | | | | |Adults, Elderly|Male, Female|GB (Ongoing) HU (Completed) DE (Ongoing) ES (Ongoing) CZ (Ongoing) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|71|Total number of trials|nc|nc|nc|nc|2012-002064-27|ROF-ASTHMA_202|2013-02-01|Takeda Pharma A/S|A Phase 2, Randomized, Double-blind, 4-week Cross-over Trial to Investigate The Effect of a Once-daily Combination of 500 µg Roflumilast plus 10 mg Montelukast versus 10 mg Montelukast Alone on Pul...|Pulmonary Function, Asthma Symptoms and Inflammatory Markers in Subjects with Severe Asthma|15.1|10038738 - Respiratory, thoracic and mediastinal disorders|10003553|Asthma|PT|Adults, Elderly|Male, Female|DE (Completed) HU (Completed) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|72|Total number of trials|nc|nc|nc|nc|2008-006906-41|TAK-475_310|Information not available in EudraCT|Takeda Global Research & Development Centre (Europe) Ltd|A Modified Case Control Study To Identify Pharmacogenomic Factors Associated With Hepatocellular Injury Following Exposure To Lapaquistat Acetate|A Modified Case Control Study To Identify Pharmacogenomic Factors Associated With Hepatocellular Injury Following Exposure To Lapaquistat Acetate| | | | | |Adults|Male, Female|DE (Completed) GB (Completed) FI (Completed) LV (Completed) CZ (Completed) NL (Completed) SK (Completed) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|73|Total number of trials|nc|nc|nc|nc|2007-004137-42|0431-066|2007-10-28|Merck Sharp & Dohme GmbH|A Phase III Randomized, Active-Comparator (Pioglitazone) Controlled Clinical Trial to Study the Efficacy and Safety of MK-0431A (A Fixed-Dose Combination Tablet of Sitagliptin and Metformin) in Pat...|Type 2 Diabetes Mellitus|9.1| |10045242|Type II diabetes mellitus|LLT|Adults, Elderly|Male, Female|AT (Completed) IE (Completed) HU (Completed) SE (Completed) SI (Completed) GB (Completed) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|74|Total number of trials|nc|nc|nc|nc|2013-001419-64|NOR-107|2014-01-24|Takeda Vaccines (Montana), Inc.|A Phase II, Randomized, Controlled, Double-Blind, Dosage and Adjuvant Justification, Safety and Immunogenicity Trial of Intramuscular Norovirus GI.1/GII.4 Bivalent Virus-Like Particle Vaccine Adjuv...|Prevention of gastroenteritis caused by norovirus|16.1|10021881 - Infections and infestations|10068189|Gastroenteritis norovirus|PT|Adolescents, Under 18, Adults|Male, Female|BE (Completed) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|75|Total number of trials|nc|nc|nc|nc|2007-002218-21|0431-068|2008-01-03|Merck & Co., Inc.|A Phase III Randomized, Active-Comparator (Pioglitazone) Controlled Clinical Trial to Study the Efficacy and Safety of Sitagliptin and MK-0431A (A Fixed-DOse Combination Tablet of Sitagliptin and M...|type II diabetes mellitus|9.1| |10045242|Type II diabetes mellitus|LLT|Adults, Elderly|Male, Female|DE (Completed) IS (Completed) IT (Completed) SI (Completed) GR (Completed) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|76|Total number of trials|nc|nc|nc|nc|2004-002157-30|01-03-TL-715-005|2004-12-01|Takeda Europe R&D Centre Ltd. (TEuR&D)|A Randomized, Double-Blind, Placebo-Controlled Dose-Ranging Study to Evaluate the Safety and Efficacy of Oral TAK-715 in the Treatment of the Signs and Symptoms of Rheumatoid Arthritis|Rheumatoid Arthritis| | | | | |Adults, Elderly|Male, Female|FI (Completed) DK (Completed) SK (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|77|Total number of trials|nc|nc|nc|nc|2006-002547-83|2006-05|2007-02-15|Dr. Peter Sydow|GnRH-Agonisten-Therapie bei Frauen mit Endometriose der Stadien III-IV nach rASRM-Kriterien vor reproduktionsmedizinischen Techniken (IVF / ICSI) (GARTE-Studie)|Women with endometriosis who have been diagnosed with Stages III -IV according to rASRM criteria| | | | | |Adults|Female|DE (Completed) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|78|Total number of trials|nc|nc|nc|nc|2009-016678-34|CRO1456|2010-04-15|Imperial College London|Exploring the Relationship Between Insulin Resistance and Interferon Resistance|HCV infected patient who do not response to Pegylated Interferon. This study is trying to explore the relationship between insulin resistance and Interferon Resistance and the possible rule of Pio...| | | | | |Adults|Male, Female|GB (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|79|Total number of trials|nc|nc|nc|nc|2009-011106-42|2008MZ09B|2009-06-25|Institute for Clinical and Experimental Medicine|Aditive effects of omega-3 polyunsaturated fatty acids and pioglitazone in the treatment of type 2 diabetes mellitus|The project deals with hummoral and metabolic aspects of insulin resistance (IR), which is assumed to be the basic metabolic disorder which leads to the development of type 2 diabetes mellitus (T2D...| | | | | |Adults, Elderly|Male, Female|CZ (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|80|Total number of trials|nc|nc|nc|nc|2009-011675-79|ACTIM|2009-07-10|CH-Versailles|A PHASE II STUDY TO ASSESS EFFICACY AND SAFETY OF PIOGLITAZONE (ACTOS®) AS ADD-ON THERAPY TO IMATINIB MESYLATE (GLEEVEC®) IN CHRONIC PHASE CHRONIC MYELOGENOUS LEUKAEMIA (CP-CML) PATIENTS IN MAJOR...|chronic phase chronic myelogenous leukaemia (CP-CML) patients in major molecular response.| | | | | |Adults, Elderly|Male, Female|FR (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|81|Total number of trials|nc|nc|nc|nc|2005-004163-39|HSJD-LIT-05|2005-11-14|Hospital Sant Joan de Déu|Effects on Endocrine-Metabolic Parameters and Body Composition of the Addition of Low-Dose Pioglitazone to Flutamide-Metformin Therapy in Young Women with Hyperinsulinemic Ovarian Hyperandrogenism ...|Polycystic Ovary Syndrome includes anovulatory hyperandrogenism, hyperinsulinemia and/or dyslipidemia. Adiponectin and interleukin-6 are adipocytokines that have been related to abdominal fat exces...| | | | | |Adults|Female|ES (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|82|Total number of trials|nc|nc|nc|nc|2009-014830-10|GCPD_27july09|2009-11-04|Medizinische Universität Wien, Univ.Klinik Innere Medizin III, Abt.für Nephrologie u.Dialyse|Glucose Control in Pre-Diabetic Renal Transplant Patients|new onset diabetes mellitus after transplantation| | | | | |Adults, Elderly|Male, Female|AT (Completed) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|83|Total number of trials|nc|nc|nc|nc|2006-000186-11|Dresden-PPP-Trial|2006-09-22|Med. Klinik / Kardiologie der Med. Fakultät Carl Gustav Carus an der Technischen Unversität Dresden|Double blind randomized placebo controlled study by virtual histology on the influence of oral pioglitazone for 9 month on the development of coronary plaques in non-diabetic patients with coronary...|Male or female non-diabetic patients with coronary heart disease with AP or NSTEMI with indication for stent implantation and one additional coronary artery plaque (stenosis < 50%)| | | | | |Adults, Elderly|Male, Female|DE (Completed) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|84|Total number of trials|nc|nc|nc|nc|2005-003182-16|A07329|2005-08-26|Addenbrooke's Hospital Trust|Blood Pressure Optimisation In Patients With Polycystic Kidney Disease And Hypertension By Rotation Through The Main Therapeutic Classes Of Antihypertensive Drugs.|Polycystic kidney disease| | | | | |Adults|Male, Female|GB (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|85|Total number of trials|nc|nc|nc|nc|2007-001800-20|PADBelch07|2007-08-10|University of Dundee|A randomised, placebo-controlled trial of the effect of pioglitazone on vascular endothelial function and novel biomarkers for macrovascular events in diabetics with established peripheral arterial...|The study involves patients with type 2 Diabetes and Peripheral Arterial Disease.The overall objective of the research proposal is to determine the occurrence of biomarkers that typify the metaboli...| | | | | |Adults, Elderly|Male, Female|GB (Completed) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|86|Total number of trials|nc|nc|nc|nc|2013-002774-51|BrePainGenOxyc1|2013-06-27|Helsinki University Central Hospital|Genetic influences on pain and oxycodone consumption following mastectomy|Women who are scheduled for breast cancer surgery.| | | | | |Population Age|Gender|FI (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|87|Total number of trials|nc|nc|nc|nc|2006-004296-35|RGHT000203|2007-10-18|The Royal Group of Hospitals, Belfast Health and Social Care Trust [...] 1. The Royal Group of Hospitals, Belfast Health and Social Care Trust 2. Queen's University Belfast|An investigation into the modulation of obesity associated monocyte/macrophage function, vascular inflammation and insulin resistance by PPAR agonist treatment|The proposed study will investigate early indicators of cardiovascular disease and diabetes in healthy, obese men without a family history of diabetes and whether these are changed by treatment wit...| | | | | |Adults|Male|GB (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|88|Total number of trials|nc|nc|nc|nc|2014-005286-69|7502|2015-02-23|Kuopion yliopistollinen sairaala/Ensihoitokeskus|Intranasal fentanyl in pre-hospital analgesia|Patients with trauma, musculoskeletal, stomach or back pain on numeric rating scale at least value 4| | | | | |Adults, Elderly|Male, Female|FI (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|89|Total number of trials|nc|nc|nc|nc|2014-005577-36|neopopgen_v1.0|2015-04-02|Teijo Saari|Individualising propofol and oxycodone therapy in neonates using pharmacogenomic profiling, population based modeling and simulations.|Neonates, who need to be intubated and ventilated with a ventilator.| | | | | |Preterm newborn infants, Newborns, Under 18|Male, Female|FI (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|90|Total number of trials|nc|nc|nc|nc|2008-005432-32|08.0113|2009-06-02|St. George's University of London (SGUL)|Effects of an Angiotensin Receptor Antagonist Candesartan versus a calcium channel blocker Amlodipine on Microvascular Rarefaction, Endothelial Dysfunction and Microalbuminuria in Essential Hyperte...|Essential hypertension|14.1|10047065 - Vascular disorders|10004254|Benign essential hypertension|LLT|Adults, Elderly|Male, Female|GB (Prematurely Ended) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|91|Total number of trials|nc|nc|nc|nc|2015-002984-40|beta2|2015-09-25|Department of Neurology, Odense University Hospital|The beta-2-agonist terbutaline for the treatment of painful polyneuropathy. A randomised, active- and placebo-controlled trial|Painful polyneuropathy|18.0|100000004852|10054095|Neuropathic pain|LLT|Adults, Elderly|Male, Female|DK (Ongoing) |(No results available)

20170102_004904|4|Clinicaltrials|nc|takeda|92|Total number of trials|nc|nc|nc|nc|2014-000674-18|AR14.001|2015-05-26|Arbor Pharmaceuticals, LLC.|A Randomized, Double-Blind, Efficacy and Safety Study of AR 14 (AZILSARTAN MEDOXOMIL) Treatment and Withdrawal, Followed by an Open-Label Extension, in Children 6 to Less Than 18 Years of Age With ...|primary or secondary hypertension|18.1|10047065 - Vascular disorders|10036695|Primary hypertension|LLT|Children, Adolescents, Under 18|Male, Female|HU (Ongoing) IT (Ongoing) BG (Ongoing) |(No results available)

20170102_004904|4|Clinicaltrials|nc|takeda|92|Total number of trials|nc|nc|nc|nc|2014-000674-18|AR14.001|2015-05-26|Arbor Pharmaceuticals, LLC.|A Randomized, Double-Blind, Efficacy and Safety Study of AR 14 (AZILSARTAN MEDOXOMIL) Treatment and Withdrawal, Followed by an Open-Label Extension, in Children 6 to Less Than 18 Years of Age With ...|primary or secondary hypertension|18.1|10047065 - Vascular disorders|10039834|Secondary hypertension|PT|Children, Adolescents, Under 18|Male, Female|HU (Ongoing) IT (Ongoing) BG (Ongoing) |(No results available)

